replacing_vocabulary,replaced_vocabulary
http://rs.tdwg.org/version/dwc/2009-01-18,http://rs.tdwg.org/version/dwc/2008-11-19
http://rs.tdwg.org/version/dwc/2009-01-21,http://rs.tdwg.org/version/dwc/2009-01-18
http://rs.tdwg.org/version/dwc/2009-01-23,http://rs.tdwg.org/version/dwc/2009-01-21
http://rs.tdwg.org/version/dwc/2009-04-24,http://rs.tdwg.org/version/dwc/2009-01-23
http://rs.tdwg.org/version/dwc/2009-04-29,http://rs.tdwg.org/version/dwc/2009-04-24
http://rs.tdwg.org/version/dwc/2009-05-18,http://rs.tdwg.org/version/dwc/2009-04-29
http://rs.tdwg.org/version/dwc/2009-07-06,http://rs.tdwg.org/version/dwc/2009-05-18
http://rs.tdwg.org/version/dwc/2009-08-24,http://rs.tdwg.org/version/dwc/2009-07-06
http://rs.tdwg.org/version/dwc/2009-09-11,http://rs.tdwg.org/version/dwc/2009-08-24
http://rs.tdwg.org/version/dwc/2009-09-17,http://rs.tdwg.org/version/dwc/2009-09-11
http://rs.tdwg.org/version/dwc/2009-09-21,http://rs.tdwg.org/version/dwc/2009-09-17
http://rs.tdwg.org/version/dwc/2009-12-07,http://rs.tdwg.org/version/dwc/2009-09-21
http://rs.tdwg.org/version/dwc/2011-10-16,http://rs.tdwg.org/version/dwc/2009-12-07
http://rs.tdwg.org/version/dwc/2013-03-28,http://rs.tdwg.org/version/dwc/2011-10-16
http://rs.tdwg.org/version/dwc/2013-05-25,http://rs.tdwg.org/version/dwc/2013-03-28
http://rs.tdwg.org/version/dwc/2014-10-23,http://rs.tdwg.org/version/dwc/2013-05-25
http://rs.tdwg.org/version/dwc/2014-12-23,http://rs.tdwg.org/version/dwc/2014-10-23
http://rs.tdwg.org/version/dwc/2015-03-27,http://rs.tdwg.org/version/dwc/2014-12-23
http://rs.tdwg.org/version/ac/2020-01-27,http://rs.tdwg.org/version/ac/2013-10-28
http://rs.tdwg.org/version/dwc/2017-10-06,http://rs.tdwg.org/version/dwc/2015-03-27
http://rs.tdwg.org/version/dwc/2018-09-06,http://rs.tdwg.org/version/dwc/2017-10-06
http://rs.tdwg.org/version/dwc/2020-08-12,http://rs.tdwg.org/version/dwc/2018-09-06
http://rs.tdwg.org/version/dwc/2020-08-20,http://rs.tdwg.org/version/dwc/2020-08-12
http://rs.tdwg.org/version/ac/2020-08-23,http://rs.tdwg.org/version/ac/2020-01-27
http://rs.tdwg.org/version/dwc/2020-10-13,http://rs.tdwg.org/version/dwc/2020-08-20
http://rs.tdwg.org/version/ac/2020-10-13,http://rs.tdwg.org/version/ac/2020-08-23
