version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdf_about,dcterms_issued,dcterms_modified,dwcattributes_status,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://digir.net/schema/conceptual/darwin/2003/1.0/version/AgeClass-2003-06-17,AgeClass-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,AgeClass,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Age Class,"The age class, reproductive stage, life stage of the biological individual (e.g., juvenile, adult, eft, nymph, etc.).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,{DataSets/DataSet/Units/Unit/ZoologicalUnit/PhasesOrStages/PhaseOrStage or DataSets/DataSet/Units/Unit/MycologicalUnit/MycologicalLifeStages/MycologicalLifeStage or DataSets/DataSet/Units/Unit/MycologicalUnit/MycologicalSexualStage},,,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass-2003-06-17,2003-06-17,2003-06-17,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,BasisOfRecord-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,BasisOfRecord,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Basis of Record,"An abbreviation indicating whether the record represents an observation (O), living organism (L), specimen (S), germplasm/seed (G), etc.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/RecordBasis,,,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord-2003-06-13,2003-06-13,2003-06-13,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,BasisOfRecord-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,,,BasisOfRecord,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Basis of Record,"A description indicating whether the record represents an observation, tissue sample, living organism, voucher specimen, germplasm/seed, genetic information, etc.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/RecordBasis,,,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord-2003-06-13,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,BoundingBox-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,BoundingBox,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Bounding Box,"This access point provides a mechanism for performing searches using a bounding box. A Bounding Box element is not typically present in the database, but rather is derived from the Latitude and Longitude columns by the data provider",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not covered by ABCD,,,http://digir.net/schema/conceptual/darwin/2003/1.0/BoundingBox-2003-06-13,2003-06-13,2003-06-13,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-17,BoundingBox-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,,,BoundingBox,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Bounding Box,"This access point provides a mechanism for performing searches using a bounding box. A Bounding Box element is not typically present in the database, but rather is derived from the DecimalLatitude and DecimalLongitude columns by the data provider.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not covered by ABCD,,,http://digir.net/schema/conceptual/darwin/2003/1.0/BoundingBox-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/BoundingBox-2003-06-13,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,CatalogNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,CatalogNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Catalog Number,"A unique alphanumeric value which identifies an individual record within the collection. It is recommended that this value provides a key by which the actual specimen can be identified. If the specimen has several items such as various types of preparation, this value should identify the individual component of the specimen",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/UnitID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber-2003-06-13,2003-06-13,2003-06-13,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,CatalogNumberNumeric-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. Allows searching on numeric ranges of CatalogNumbers.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/UnitIDNumeric,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric-2003-06-17,2003-06-17,2003-06-17,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,CatalogNumberText-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,,,CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber,,,Catalog Number Text,An alphanumeric value which identifies an individual cataloged item within the collection. It is recommended that this value provides a key by which the individual cataloged item can be identified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/UnitID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber-2003-06-13,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,Class-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Class,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Class,The class name of the organism,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Class-2003-06-13,2003-06-13,2003-06-13,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,Class-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,,,Class,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Class,The phylogenetic class to which the cataloged item belongs.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Class-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Class-2003-06-13,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,CollectionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Collection Code,A unique alphanumeric value which identifies the collection within the institution,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SourceID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-13,2003-06-13,2003-06-13,superseded,,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,,,CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collection Code,A unique alphanumeric value that identifies the collection within the institution in which the item is cataloged. This attribute must contain no spaces.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SourceID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-13,,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,Collector-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Collector,The name(s) of the collector(s) responsible for collection the specimen or taking the observation,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector-2003-06-13,2003-06-13,2003-06-13,superseded,,,
