"identifier","context","text"
"dateIdentified:label","Label for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified",""
"dateIdentified:rdfs_comment","Comment for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified",""
"dateIdentified:dcterms_description","Description for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified",""
"dateIdentified:examples","Examples for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified",""
"dateIdentified:skos_scopeNote","Usage for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified",""
"identificationQualifier:label","Label for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier",""
"identificationQualifier:rdfs_comment","Comment for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier",""
"identificationQualifier:dcterms_description","Description for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier",""
"identificationQualifier:examples","Examples for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier",""
"identificationQualifier:skos_scopeNote","Usage for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier",""
"identifiedBy:label","Label for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy",""
"identifiedBy:rdfs_comment","Comment for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy",""
"identifiedBy:dcterms_description","Description for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy",""
"identifiedBy:skos_scopeNote","Usage for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy",""
"lifeStage:label","Label for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage",""
"lifeStage:rdfs_comment","Comment for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage",""
"lifeStage:dcterms_description","Description for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage",""
"lifeStage:skos_scopeNote","Usage for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage",""
"nameAccordingTo:label","Label for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo",""
"nameAccordingTo:rdfs_comment","Comment for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo",""
"nameAccordingTo:dcterms_description","Description for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo",""
"nameAccordingTo:skos_scopeNote","Usage for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo",""
"preparations:label","Label for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations",""
"preparations:rdfs_comment","Comment for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations",""
"preparations:dcterms_description","Description for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations",""
"preparations:skos_scopeNote","Usage for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations",""
"scientificName:label","Label for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName",""
"scientificName:rdfs_comment","Comment for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName",""
"scientificName:dcterms_description","Description for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName",""
"scientificName:examples","Examples for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName",""
"scientificName:skos_scopeNote","Usage for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName",""
"scientificNameID:label","Label for Scientific Name ID http://rs.tdwg.org/dwc/terms/scientificNameID",""
"scientificNameID:rdfs_comment","Comment for Scientific Name ID http://rs.tdwg.org/dwc/terms/scientificNameID",""
"scientificNameID:dcterms_description","Description for Scientific Name ID http://rs.tdwg.org/dwc/terms/scientificNameID",""
"sex:label","Label for Subject Sex http://rs.tdwg.org/dwc/terms/sex",""
"sex:rdfs_comment","Comment for Subject Sex http://rs.tdwg.org/dwc/terms/sex",""
"sex:dcterms_description","Description for Subject Sex http://rs.tdwg.org/dwc/terms/sex",""
"sex:skos_scopeNote","Usage for Subject Sex http://rs.tdwg.org/dwc/terms/sex",""
"vernacularName:label","Label for Common Name http://rs.tdwg.org/dwc/terms/vernacularName",""
"vernacularName:rdfs_comment","Comment for Common Name http://rs.tdwg.org/dwc/terms/vernacularName",""
"vernacularName:dcterms_description","Description for Common Name http://rs.tdwg.org/dwc/terms/vernacularName",""
"vernacularName:skos_scopeNote","Usage for Common Name http://rs.tdwg.org/dwc/terms/vernacularName",""
"continent:label","Label for Continent http://rs.tdwg.org/dwc/terms/continent",""
"continent:rdfs_comment","Comment for Continent http://rs.tdwg.org/dwc/terms/continent",""
"continent:dcterms_description","Description for Continent http://rs.tdwg.org/dwc/terms/continent",""
"coordinatePrecision:label","Label for Coordinate Precision http://rs.tdwg.org/dwc/terms/coordinatePrecision",""
"coordinatePrecision:rdfs_comment","Comment for Coordinate Precision http://rs.tdwg.org/dwc/terms/coordinatePrecision",""
"coordinatePrecision:examples","Examples for Coordinate Precision http://rs.tdwg.org/dwc/terms/coordinatePrecision",""
"coordinateUncertaintyInMeters:label","Label for Coordinate Uncertainty In Meters http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters",""
